Company_ID,NEW_CONAME,Year,LabID_new,Lab_Location,Lab_State,StateOwned,ForeignOwned,DSIR_Code,LabLat,LabLong
53,Alkem Laboratories,2008,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2008,62,Bangalore,Karnataka,0,0,1,12.971599,77.594563
53,Alkem Laboratories,2009,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2009,62,Bangalore,Karnataka,0,0,1,12.971599,77.594563
53,Alkem Laboratories,2010,61,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
53,Alkem Laboratories,2010,62,Bangalore,Karnataka,0,0,1,12.971599,77.594563
54,Alkyl Amines Chemicals,2003,63,Pune,Maharashtra,0,0,1,18.52043,73.856744
54,Alkyl Amines Chemicals,2005,63,Pune,Maharashtra,0,0,1,18.52043,73.856744
54,Alkyl Amines Chemicals,2006,63,Pune,Maharashtra,0,0,1,18.52043,73.856744
54,Alkyl Amines Chemicals,2007,63,Pune,Maharashtra,0,0,1,18.52043,73.856744
54,Alkyl Amines Chemicals,2008,63,Pune,Maharashtra,0,0,1,18.52043,73.856744
54,Alkyl Amines Chemicals,2009,63,Pune,Maharashtra,0,0,1,18.52043,73.856744
